order_id,user,product,category,qty,unit_price,coupon_applied,ts
1,uma,widget c,widgets,1,16.95,True,2024-05-14T19:49:48
2,ravi,gizmo x,gizmos,1,25.47,True,2024-04-19T15:35:51
3,ravi,gizmo y,gizmos,1,23.63,False,2024-06-07T11:24:38
4,walt,widget c,widgets,1,21.61,False,2024-01-18T10:11:10
5,lia,service plan,services,1,16.4,False,2024-01-23T15:59:32
6,clara,service plan,services,2,18.21,True,2024-01-13T19:07:16
7,hans,widget b,widgets,2,13.32,False,2024-03-23T15:57:43
8,lia,widget c,widgets,1,17.67,False,2024-04-28T18:08:17
9,uma,widget b,widgets,1,11.57,False,2024-04-26T13:07:08
10,ravi,widget c,widgets,2,20.57,True,2024-01-07T14:53:34
11,mari,widget b,widgets,2,12.24,False,2024-02-08T16:37:35
12,mari,pro kit,kits,1,43.7,False,2024-04-08T20:51:46
13,sofia,gizmo y,gizmos,1,21.98,False,2024-04-02T20:30:56
14,clara,widget b,widgets,1,10.78,False,2024-04-18T15:09:02
15,mari,gizmo x,gizmos,1,33.1,False,2024-01-03T10:02:03
16,xena,gizmo y,gizmos,2,25.93,False,2024-02-23T15:04:24
17,finn,widget c,widgets,3,20.49,False,2024-01-20T15:44:18
18,uma,gizmo y,gizmos,1,21.5,False,2024-04-08T17:36:49
19,ana,pro kit,kits,1,55.31,False,2024-05-31T13:23:54
20,hans,gizmo y,gizmos,2,21.02,False,2024-01-13T21:37:41
21,yuri,widget b,widgets,1,11.91,False,2024-02-18T11:07:00
22,timo,widget b,widgets,2,12.92,False,2024-05-09T19:01:53
23,mari,addon 1,addons,1,7.04,True,2024-02-11T14:13:51
24,ana,gizmo x,gizmos,1,24.71,False,2024-01-12T10:34:18
25,bruno,widget b,widgets,1,11.2,False,2024-04-08T20:58:53
26,sofia,gizmo x,gizmos,2,31.68,True,2024-01-18T15:25:28
27,lia,gizmo x,gizmos,2,25.12,False,2024-04-27T16:03:04
28,bruno,widget c,widgets,2,16.77,True,2024-04-07T17:07:59
29,eli,widget c,widgets,1,21.13,True,2024-05-27T17:21:39
30,dora,gizmo y,gizmos,2,27.38,False,2024-06-03T10:36:57
31,finn,gizmo x,gizmos,1,28.14,True,2024-03-10T15:33:53
32,io,pro kit,kits,1,51.89,False,2024-05-22T13:53:22
33,vea,widget c,widgets,1,17.39,True,2024-05-13T09:20:33
34,xena,widget a,widgets,1,9.01,False,2024-01-29T17:05:30
35,clara,widget b,widgets,1,12.63,True,2024-01-23T18:27:57
36,hans,widget a,widgets,1,8.78,False,2024-04-05T13:17:13
37,gia,addon 1,addons,1,6.78,False,2024-02-24T19:23:14
38,kai,widget b,widgets,1,12.44,False,2024-01-19T11:43:05
39,ravi,widget c,widgets,1,18.14,True,2024-02-14T16:35:29
40,jo,gizmo y,gizmos,1,24.8,False,2024-04-29T09:01:43
41,vea,gizmo y,gizmos,2,21.15,False,2024-02-18T10:32:32
42,xena,gizmo y,gizmos,1,21.92,False,2024-05-05T13:06:44
43,quin,widget a,widgets,1,8.79,False,2024-01-01T11:27:07
44,uma,widget c,widgets,1,19.29,False,2024-01-03T10:08:25
45,walt,starter kit,kits,1,37.47,False,2024-03-19T09:00:37
46,bruno,widget a,widgets,2,8.22,True,2024-01-19T17:58:28
47,nils,widget c,widgets,2,17.5,True,2024-05-25T13:54:27
48,finn,widget a,widgets,1,10.15,False,2024-03-16T19:14:45
49,xena,gizmo y,gizmos,1,25.45,False,2024-01-08T16:45:42
50,hans,gizmo x,gizmos,1,31.79,False,2024-02-10T19:30:02
51,vea,widget c,widgets,1,16.55,False,2024-03-05T17:17:41
52,mari,starter kit,kits,1,33.47,False,2024-02-17T18:22:32
53,sofia,gizmo y,gizmos,1,24.7,False,2024-05-23T15:15:14
54,timo,widget b,widgets,1,12.28,False,2024-05-09T09:53:10
55,quin,starter kit,kits,1,44.15,False,2024-02-06T15:40:44
56,clara,addon 1,addons,1,7.34,True,2024-06-12T18:24:14
57,quin,gizmo x,gizmos,1,30.72,False,2024-02-05T19:02:20
58,mari,widget c,widgets,1,17.87,False,2024-01-01T09:46:08
59,jo,gizmo y,gizmos,1,22.72,False,2024-05-03T17:23:00
60,pia,widget c,widgets,1,17.77,False,2024-04-22T18:44:18
61,clara,gizmo x,gizmos,1,26.6,True,2024-01-05T18:26:45
62,hans,service plan,services,2,16.57,False,2024-04-24T16:31:03
63,gia,addon 2,addons,1,4.62,False,2024-01-02T10:09:51
64,yuri,widget b,widgets,2,12.71,False,2024-04-11T13:10:28
65,dora,gizmo x,gizmos,1,33.24,False,2024-06-21T20:16:21
66,olav,starter kit,kits,1,43.76,False,2024-01-30T16:36:36
67,olav,widget b,widgets,2,11.2,False,2024-03-29T12:52:25
68,io,widget c,widgets,1,18.06,False,2024-01-15T11:09:26
69,hans,widget b,widgets,1,10.43,False,2024-04-08T20:41:57
70,nils,gizmo x,gizmos,1,31.35,False,2024-01-04T21:07:12
71,yuri,pro kit,kits,1,46.82,False,2024-06-04T15:19:34
72,ravi,starter kit,kits,2,43.65,False,2024-02-19T21:27:07
73,pia,widget c,widgets,1,20.7,False,2024-06-01T11:55:25
74,timo,gizmo x,gizmos,1,30.42,True,2024-03-19T16:53:40
75,finn,gizmo x,gizmos,1,28.61,False,2024-06-09T13:28:15
76,yuri,addon 2,addons,1,4.37,True,2024-04-08T14:47:17
77,hans,widget a,widgets,2,10.21,True,2024-01-05T11:48:58
78,hans,widget a,widgets,1,8.24,False,2024-05-19T14:08:30
79,finn,widget b,widgets,2,10.79,False,2024-04-15T09:54:29
80,jo,addon 2,addons,1,5.32,True,2024-05-05T17:41:51
81,uma,widget c,widgets,2,19.57,True,2024-06-27T09:35:37
82,lia,widget c,widgets,1,19.84,True,2024-03-17T14:36:57
83,pia,widget c,widgets,1,20.87,False,2024-03-20T09:51:10
84,xena,widget c,widgets,1,21.39,False,2024-03-25T17:55:11
85,xena,addon 1,addons,2,7.69,True,2024-06-09T10:08:55
86,hans,service plan,services,1,18.31,True,2024-06-03T20:27:08
87,finn,widget c,widgets,2,18.09,False,2024-05-07T15:45:31
88,io,starter kit,kits,2,34.15,False,2024-03-30T12:13:20
89,walt,gizmo x,gizmos,1,24.8,False,2024-03-14T18:22:48
90,hans,gizmo y,gizmos,1,24.39,False,2024-06-30T17:19:11
91,kai,gizmo x,gizmos,1,26.84,True,2024-02-05T10:16:56
92,xena,widget b,widgets,1,12.86,False,2024-04-17T09:25:11
93,yuri,widget c,widgets,3,20.9,False,2024-03-06T20:43:10
94,jo,gizmo y,gizmos,1,20.73,True,2024-02-23T09:07:53
95,eli,pro kit,kits,1,41.83,False,2024-03-28T14:14:11
96,finn,gizmo y,gizmos,2,23.84,False,2024-03-14T10:16:58
97,sofia,widget a,widgets,1,9.84,False,2024-01-16T19:13:06
98,hans,gizmo x,gizmos,1,31.53,True,2024-04-05T16:22:15
99,olav,gizmo y,gizmos,3,22.6,False,2024-04-21T20:46:17
100,dora,gizmo x,gizmos,1,26.95,True,2024-02-13T21:19:56
101,ravi,widget a,widgets,1,9.51,False,2024-01-07T13:14:40
102,walt,gizmo x,gizmos,1,26.68,False,2024-05-24T18:15:27
103,vea,gizmo x,gizmos,1,29.39,False,2024-06-14T11:51:25
104,clara,widget c,widgets,1,20.85,False,2024-03-21T16:49:50
105,walt,gizmo x,gizmos,2,29.0,False,2024-01-15T09:33:56
106,nils,service plan,services,1,16.67,False,2024-06-01T18:06:27
107,sofia,gizmo y,gizmos,1,25.89,True,2024-04-04T13:38:39
108,olav,widget c,widgets,3,18.63,False,2024-06-25T16:08:33
109,lia,widget c,widgets,1,21.04,False,2024-05-06T13:01:47
110,vea,starter kit,kits,1,34.18,False,2024-01-22T09:11:10
111,yuri,gizmo y,gizmos,2,20.41,False,2024-03-25T09:17:34
112,gia,gizmo y,gizmos,2,24.9,False,2024-02-07T17:06:24
113,eli,pro kit,kits,2,48.78,True,2024-04-24T17:38:13
114,zara,widget b,widgets,1,10.25,False,2024-02-11T10:14:43
115,olav,widget c,widgets,1,20.23,False,2024-02-19T16:35:08
116,pia,gizmo y,gizmos,1,21.77,False,2024-05-15T20:20:34
117,eli,gizmo y,gizmos,2,26.55,False,2024-05-23T13:52:20
118,ana,widget c,widgets,2,19.46,False,2024-06-06T10:48:20
119,olav,widget c,widgets,1,20.5,False,2024-06-18T17:22:12
120,gia,gizmo x,gizmos,1,26.68,False,2024-01-09T20:12:53
121,pia,addon 2,addons,1,5.25,False,2024-06-27T10:24:19
122,pia,widget c,widgets,1,19.51,False,2024-06-08T16:43:17
123,dora,gizmo x,gizmos,1,25.9,False,2024-06-25T11:04:18
124,clara,widget c,widgets,1,20.1,False,2024-06-03T19:59:35
125,ravi,widget c,widgets,1,21.21,False,2024-04-08T13:44:52
126,timo,widget c,widgets,3,20.41,False,2024-01-19T19:00:54
127,walt,pro kit,kits,1,46.05,True,2024-02-29T09:37:29
128,jo,gizmo x,gizmos,1,29.27,False,2024-05-24T11:47:59
129,finn,gizmo x,gizmos,1,26.75,False,2024-01-27T16:42:25
130,uma,widget c,widgets,1,21.27,False,2024-02-22T13:29:55
131,ravi,gizmo x,gizmos,2,33.24,False,2024-06-24T20:31:21
132,io,widget c,widgets,1,18.34,False,2024-02-13T09:44:32
133,sofia,widget c,widgets,3,17.83,False,2024-04-29T20:33:55
134,io,widget a,widgets,2,9.66,False,2024-06-13T12:59:25
